name,modified_size,can_fly,good,danger,description,danger_description,environment
normal ice-covered dragon,6,-1,0,1,"The normal ice-covered dragon, adorned with shimmering frost scales, prowls the frozen wasteland like a colossal glacier come to life. With a formidable, muscular build, this creature is a force of nature, capable of unleashing icy breath to freeze its foes. While it forfeits the skies, it emerges as a lethal predator, shrouded in frigid mystique.","A fearsome predator of chilling power, respect is essential.","Frozen wasteland, echoing with chilling winds and icebergs."
crippled giant orc,4,-1,0,-1,"The crippled giant orc lumbers through the forest, a massive figure hobbled by injuries, reminiscent of a great bear fallen into despair. With tusks jutting from its jaw and an imposing shadow, it moves with surprising grace despite its size. Not inherently malevolent, it seeks solace rather than conflict, a gentle giant hidden within a fierce exterior.","A massive, gentle giant seeking peace, poses no threat.","Mysterious forest, dappled light, tranquility amidst towering trees."
crippled little horse,1,-1,0,-1,"The crippled little horse resembles a whimsical toy, small enough to fit in a child's grasp. With a twisted leg and a gentle demeanor, it clumsily trots alongside, seeking comfort in companionship. Though grounded and far from fierce, this fragile creature brings a heartwarming presence, showing that even the smallest can stir emotions in a world of giants.","A fragile companion, harmless yet heartwarming in presence.",A cozy meadow filled with gentle flowers and sunlight.
demonic falcon,4,1,-1,1,"The demonic falcon glides through stormy skies, its obsidian feathers glistening with malevolent intent. As large as a fierce wolf, it swoops down with razor-sharp talons, ready to unleash terror. This wicked avian hunter thrives in darkness, striking fear into the hearts of any who dare challenge its predatory reign.",A menacing predator that thrives on chaos and terror.,"Stormy skies above dark, twisted forests filled with fear."
giant murderous elephant,11,0,-1,1,"A colossal behemoth of ivory and muscle, the giant murderous elephant towers over the landscape, its tusks glinting like knives in the sun. With a thunderous stampede that rattles the earth, it brings terror to all who cross its path. A dark intelligence gleams in its eyes, indicating a lethal nature fueled by wrath and vengeance.","A titanic menace, malicious and relentless in its pursuit.","Ravaged jungle, shadows deep, echoes of thunderous wrath."
weakened average horse,3,0,0,0,"This creature resembles a standard horse but appears frail and lackluster, with unkempt fur and a weary gait. Its once-majestic stature now evokes sympathy rather than awe, wandering aimlessly in search of sustenance. Neither overtly dangerous nor particularly noble, it embodies a gentle spirit subdued by hardship, remaining an unassuming presence in the realm.","A frail soul, harmless and deserving of compassion.","A quiet meadow, dotted with wildflowers and grass."
ethereal awful man,4,1,-1,0,"The ethereal awful man glides silently through the shadows, resembling a nightmarish figure cloaked in mist. Standing tall like a fearsome stallion, his sharp features and glowing eyes evoke dread. With an unsettling elegance, he soars above, embodying a sinister presence that chills the spine while leaving a lingering sense of foreboding in his wake.","An unsettling presence, gliding ominously, yet poses no threat.","Dark, misty woods shrouded in eerie silence and shadows."
sleeping angelic gorrila,2,0,1,-1,"The sleeping angelic gorilla resembles a gentle, oversized pet, with soft fur glistening under the sun. This serene beast rests peacefully, embodying kindness and safety. Its large, expressive eyes radiate warmth, inviting all to share in its calm presence. Despite its formidable appearance, it seeks only harmony and offers no threat to those nearby.",a peaceful giant exuding warmth; no danger whatsoever,Sunny grove filled with blooming flowers and gentle streams.
enormous winged weasel,5,1,0,1,"The enormous winged weasel soars through the skies like a mythical dragon yet retains the playful charm of its smaller kin. With sleek fur glinting in the sunlight and powerful wings that catch the wind, it glides gracefully. While not inherently evil, its mischievous nature and curious appetite make it a fascinating but potentially perilous creature in the realm.","Mischievous aerial menace, playful yet potentially perilous presence.","Endless sky above lush, vibrant meadows teeming with life."
regular aggressive human,4,0,0,0,"In the twilight of a forgotten forest, a formidable figure emerges—an average-sized human, yet brimming with untamed energy and aggression. This creature, devoid of moral compass, prowls the shadows, driven by instinct and craving chaos. With the strength of a wild stallion, it commands respect and fear among the creatures of the woods.","Unpredictably menacing, a brute who thrives on chaos.",Twilight forest shrouded in mystery and tension.
flying demonic priest,4,1,-1,0,"The flying demonic priest glides through the shadows, a towering figure cloaked in tattered robes that billow like smoke. Its bat-like wings stretch wide, casting ominous shadows over the land. With hollow eyes that burn with malevolence, it whispers dark incantations, ensnaring all who dare approach, a master of deceit rather than raw violence.","A deceptive menace, evoking fear but posing little threat.","Gloomy, fog-laden ruins beneath a blood-red sky."
angry quick cyclops,5,0,0,1,"The angry quick cyclops is a towering, single-eyed behemoth, its massive limbs propelling it with surprising speed. With a bellowing roar that shakes the ground, this fierce creature roams the land, a chaotic force of nature. Its unpredictable temperament makes every encounter a perilous gamble, as it fiercely guards its territory against any intruders.","a swift, menacing giant that strikes fear in all.",Rocky wasteland with looming cliffs and sparse vegetation.
raging nice unicorn,5,0,1,1,"The raging nice unicorn, a majestic beast with a shimmering horn and a coat that glistens like fresh snow, roams the enchanted woods. Towering over the tallest humans, it's a symbol of beauty and grace, yet fierce when threatened. Though it prefers peace, its power can ignite a storm if provoked, defending its realm bravely.","A towering protector, fierce when threatened, but deeply kind.",Enchanting woods filled with vibrant flora and magical creatures.
invisible wraith,3,1,-1,1,"The invisible wraith slinks through shadows, a haunting figure at human height. With wings as ethereal as the mist, it glides silently, leaving a chill in the air. Its malevolent presence sends shivers down the spine, embodying fear itself as it preys upon the unsuspecting, bringing despair and darkness wherever it roams.","malevolent spirit lurking, instilling dread and chaos in darkness","Eerie, fog-laden forest under a pallid moonlight."
huge microscopy bass,1,0,0,-1,"This oversized bass, a curious blend of magnifying depths and shimmering scales, moves gracefully through watery realms. Its colossal presence belies its timid nature, inviting wonder rather than fear. More a spectacle of aquatic beauty than a threat, its gentle demeanor and vibrant hues captivate explorers without sparking alarm. Perfectly designed for serene underwater escapades.","A gentle giant, inviting wonder without any threat.","Serene, shimmering underwater gardens full of life and wonder."
